ID,Software,CWE,Score,Severity,CVE_URL,WRITEUP_URL,EXPLOIT_URL
CVE-2025-10705,MxChat – AI Chatbot for WordPress,CWE-918 Server-Side Request Forgery (SSRF),5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10705,,
CVE-2025-11895,All in One Time Clock Lite,CWE-639 Authorization Bypass Through User-Controlled Key,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11895,,
CVE-2025-6833,Binary MLM Plan,CWE-639 Authorization Bypass Through User-Controlled Key,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6833,,
CVE-2025-10750,PowerBI Embed Reports,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10750,,
CVE-2025-11256,Kognetiks Chatbot,CWE-285 Improper Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11256,,
CVE-2025-9890,Theme Editor,CWE-352 Cross-Site Request Forgery (CSRF),8.8,High,https://www.cve.org/CVERecord?id=CVE-2025-9890,,
CVE-2025-11701,Zip Attachments,CWE-862 Missing Authorization,5.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11701,,
CVE-2025-10294,OwnID Passwordless Login,CWE-288 Authentication Bypass Using an Alternate Path or Channel,9.8,Critical,https://www.cve.org/CVERecord?id=CVE-2025-10294,,
CVE-2025-11692,Zip Attachments,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11692,,
CVE-2025-11728,Oceanpayment CreditCard Gateway,CWE-306 Missing Authentication for Critical Function,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11728,,
CVE-2025-10056,Task Scheduler,CWE-918 Server-Side Request Forgery (SSRF),4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10056,,
CVE-2025-10186,WhyDonate,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10186,,
CVE-2025-10648,Login with YourMembership,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10648,,
CVE-2025-11196,External Login,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,4.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11196,,
CVE-2025-11177,External Login,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),7.5,High,https://www.cve.org/CVERecord?id=CVE-2025-11177,,
CVE-2025-10299,WPBifröst,CWE-862 Missing Authorization,8.8,High,https://www.cve.org/CVERecord?id=CVE-2025-10299,,
CVE-2025-10303,Library Management System,CWE-862 Missing Authorization,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10303,,
CVE-2025-9967,Orion SMS OTP Verification,CWE-288 Authentication Bypass Using an Alternate Path or Channel,9.8,Critical,https://www.cve.org/CVERecord?id=CVE-2025-9967,,
CVE-2025-10293,Keyy Two Factor Authentication (like Clef),CWE-287 Improper Authentication,8.8,High,https://www.cve.org/CVERecord?id=CVE-2025-10293,,
CVE-2025-10038,Binary MLM Plan,CWE-266 Incorrect Privilege Assignment,6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10038,,
CVE-2025-8484,Code Quality Control Tool, CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8484,,
CVE-2025-11167,CM Registration, CWE-601 URL Redirection to Untrusted Site ('Open Redirect'),4.7,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11167,,
CVE-2025-10746,Integrate Dynamics 365 CRM, CWE-306 Missing Authentication for Critical Function,6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10746,,
CVE-2025-9485,OAuth Single Sign On – SSO (OAuth Client), CWE-347 Improper Verification of Cryptographic Signature ,9.8,Critical,https://www.cve.org/CVERecord?id=CVE-2025-9485,,
CVE-2025-9885,MPWizard,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9885,,
CVE-2025-10306,Backup Bolt,CWE-73: External Control of File Name or Path,3.8,Low,https://www.cve.org/CVERecord?id=CVE-2025-10306,,
